"description","dataelement_formname","dataelement_uid",
"Cross-check for data consistency and correct compilation by comparing source data from OPD register and summary form for previous month.  Yes","3.1.2 4. Are the submitted HMIS data valid and reliable?","MGmLI5kf44n",
"Cross-check for data consistency and correct compilation by comparing source data from OPD register and summary form for previous month.","3.1.2 4. Are the submitted HMIS data valid and reliable?","i0k5ZLNjCA2",
"Cross-check for data consistency and correct compilation by comparing source data from OPD register and summary form for previous month.","3.1.2 4. Are the submitted HMIS data valid and reliable?","TqmV1VeD8zi",
"Cross-check for data consistency and correct compilation by comparing source data from OPD register and summary form for previous month.","3.1.2 4. Are the submitted HMIS data valid and reliable?","i0k5ZLNjCA2",
"Check if there is displayed information (charts or tables) on any CCHP/HMIS indicators from the previous four quarters to show performance or trend.","3.2.1 1. Does the facility analyse data on selected indicators?","IEepOySZFE1",
"Check if there is displayed information (charts or tables) on any CCHP/HMIS indicators from the previous four quarters to show performance or trend.","3.2.1 1. Does the facility analyse data on selected indicators?","DC4bbCBF98k",
"Check if there is displayed information (charts or tables) on any CCHP/HMIS indicators from the previous four quarters to show performance or trend.","3.2.1 1. Does the facility analyse data on selected indicators?","iazBKeRGLe6",
"Check if there is displayed information (charts or tables) on any CCHP/HMIS indicators from the previous four quarters to show performance or trend.","3.2.1 1. Does the facility analyse data on selected indicators?","IEepOySZFE1",
"Check if there is a facility profile report. Yes","3.2.1 2. Is there a Facility Profile Report for the last year based on HMIS data?","v2fIVTTqHn9",
"Check if there is a facility profile report.","3.2.1 2. Is there a Facility Profile Report for the last year based on HMIS data?","d4hQY05g8TT",
"Check if there is a facility profile report.","3.2.1 2. Is there a Facility Profile Report for the last year based on HMIS data?","d4hQY05g8TT",
"Check if there is a facility profile report","3.2.1 2. Is there a Facility Profile Report for the last year based on HMIS data?","X33JIi8Xd7T",
"Visit Village Executive Officer and Village Chairman to check for the presence of the Facility Profile Report or any similar report(s)","3.2.2 1. Is the Facility Profile Report shared with the local administration?","WsphadIVPkL",
"Visit Village Executive Officer and Village Chairman to check for the presence of the Facility Profile Report or any similar report(s) Select option","3.2.2 1. Is the Facility Profile Report shared with the local administration?","nMimRrvOUWB",
"Visit Village/Ward Executive Officer and Ward Chairman to check for the presence of the Facility Profile Report or any similar report(s)","3.2.2 1. Is the Facility Profile Report shared with the local administration?","Y2Tkywzf0CI",
"Visit Village Executive Officer and Village Chairman to check for the presence of the Facility Profile Report or any similar report(s) Select option","3.2.2 1. Is the Facility Profile Report shared with the local administration?","nMimRrvOUWB",
"Check three outpatient records for history, physical examination, diagnosis, treatment and follow up if applicable; select from outpatients seen in the previous week.","3.3.1 1. Are medical records properly completed for all patients seen at the facility?","wDbvn9NSxHv",
"Check three outpatient records for history, physical examination, diagnosis, treatment and follow up if applicable; select from outpatients seen in the previous week.","3.3.1 1. Are medical records properly completed for all patients seen at the facility?","wDbvn9NSxHv",
"Check 5 patient records for history, physical examination, diagnosis, treatment and follow up if applicable; select from both outpatients and inpatients seen in the previous week.","3.3.1 1. Are medical records properly completed for all patients seen at the facility?","TR8LV0vFAiG",
"Check three outpatient records for history, physical examination, diagnosis, treatment and follow up if applicable; select from outpatients seen in the previous week.","3.3.1 1. Are medical records properly completed for all patients seen at the facility? (seen in the previous week.)","VZvuAxEqcF4",
"Check if there is stationery and a standard format for records, and a filing system for easy retrieval, and storage located near reception area.","3.3.1 2. Are patient records handled in a way that assures confidentiality?","p5UYMeN1iAG",
"Check if there is stationery and a standard format for records, and a filing system for easy retrieval, and storage located near reception area.","3.3.1 2. Is there a system for managing patient records?","YaoBRdrCxjL",
"Check if there is stationery and a standard format for records, and a filing system for easy retrieval, and storage located near reception area.","3.3.1 2. Is there a system for managing patient records?","vBynhPeleIx",
"Check if there is stationery and a standard format for records, and a filing system for easy retrieval, and storage located near reception area.","3.3.1 2. Is there a system for managing patient records?","obMIUuOQN7p",
"Check if there is stationery and a standard format for records, and a filing system for easy retrieval, and storage located near reception area.","3.3.1 2. Is there a system for managing patient records?","vBynhPeleIx",
"Check patient records to see if names and private or confidential details are only visible to healthcare workers, and there is a secure room or lockable storage area for patient records  Partial","3.3.2 1. Are patient records handled in a way that assures confidentiality?","TAlILMEvDYd",
"Check patient records to see if names and private or confidential details are only visible to healthcare workers, and there is a secure room or lockable storage area for patient records  Yes","3.3.2 1. Are patient records handled in a way that assures confidentiality?","MFwQI4iUKIH",
"Check patient records to see if names and private or confidential details are only visible to healthcare workers, and there is a secure room or lockable storage area for patient records  Yes","3.3.2 1. Are patient records handled in a way that assures confidentiality?","MFwQI4iUKIH",
"Verify the method is in use in the current financial year and up to date for all staff.","4.1.1 1. Is OPRAS/ other method in place to assess staff performance?","SvAyn2fM9Me",
"Verify the method is in use in the current financial year and up to date for all staff.","4.1.1 1. Is OPRAS/ other method in place to assess staff performance?","JkwZDf649lM",
"Verify the method is in use in the current financial year and up to date for all staff. Yes","4.1.1 1. Is OPRAS/ other method in place to assess staff performance?","y50vG4vTCp2",
"Verify the method is in use in the current financial year and up to date for all staff. Yes","4.1.1 1. Is OPRAS/ other method in place to assess staff performance?","y50vG4vTCp2",
"Interview 2 staff to find out if they are aware of targets.","4.1.2   1. Are performance targets agreed by staff and supervisor?","mdSz2jc3zMp",
"Interview 2 staff to find out if they are aware of targets","4.1.2 1. Are performance targets agreed by staff and supervisor?","Kxys7IzvvRq",
"nterview 2 staff to find out if they are aware of targets.","4.1.2 1. Are performance targets agreed by staff and supervisor?","Zkeo4iW0Hpb",
"nterview 2 staff to find out if they are aware of targets.","4.1.2 1. Are performance targets agreed by staff and supervisor?","Zkeo4iW0Hpb",
"Check staff records/files","4.1.3 1. Are individual job descriptions available for all staff and signed?","kC6rcxM1LWn",
"Check staff records/files Select option","4.1.3 1. Are individual job descriptions available for all staff and signed?","AqwaxGtz5C9",
"Check staff records/files Partial","4.1.3 1. Are individual job descriptions available for all staff and signed?","iJW4EgNQFeT",
"Check staff records/files Select option","4.1.3 1. Are individual job descriptions available for all staff and signed?","AqwaxGtz5C9",
"Interview one member of staff to check","4.1.3 2. Do staff know their job description?","I5bzZQ0GPsZ",
"Interview 2 staff to check","4.1.3 2. Do staff know their job description?","UR7k2WPEFK3",
"Interview one member of staff to check","4.1.3 2. Do staff know their job description?","BTXo256bIb0",
"Interview one member of staff to check","4.1.3 2. Do staff know their job description?","BTXo256bIb0",
"Check staff records/file","4.1.4 1. Is OPRAS form/ or alternative form filled for half year performance review?","XCQklc8wrG0",
"Check staff records/file","4.1.4 1. Is OPRAS form/ or alternative form filled for half year performance review?","XCQklc8wrG0",
"Check staff records/files","4.1.4 1. Is OPRAS form/ or alternative form filled for half year performance review?","NydJUbwv1EK",
"Check staff records/file Partial","4.1.4 1. Is OPRAS form/ or alternative form filled for half year performance review?","iz87coDirbu",
"Interview one member of staff Yes","4.1.4  2. Are there rewards and consequences based on OPRAS performance/ alternative method?","Lunq1iOnLyp",
"Interview 2 staff to check","4.1.4 2. Are there rewards and consequences based on OPRAS performance/ alternative method ?","wEjdWVyvw0v",
"Interview one member of staff","4.1.4 2. Are there rewards and consequences based on OPRAS performance/ alternative method?","wBPLuzX9wp0",
"Interview one member of staff","4.1.4 2. Are there rewards and consequences based on OPRAS performance/ alternative method?","wBPLuzX9wp0",
"Interview three members of staff","4.1.5 1. Are staff satisfied with the performance review system?","p5eNjUAu142",
"Interview 4-5 staff to find out","4.1.5 1. Are staff satisfied with the performance review system?","MsiTNwqufQl",
"Interview three members of staff","4.1.5 1. Are staff satisfied with the performance review system?","rQ5B1bVpM5R",
"Interview three members of staff","4.1.5 1. Are staff satisfied with the performance review system?","rQ5B1bVpM5R",
"Verify that name, opening and closing hours are visible to clients from at entrance point","5.1.1 1. Is the name of the facility with working hours clearly displayed near the entrance?","TJ37S8wpznj",
"Verify that name, opening and closing hours are visible to clients from at entrance point","5.1.1 1. Is the name of the facility with working hours clearly displayed near the entrance?","mvRumdZer93",
"Verify that name, opening and closing hours are visible to clients from at entrance point","5.1.1 1. Is the name of the facility with working hours clearly displayed near the entrance?","TJ37S8wpznj",
"Verify that name, opening and closing hours are visible to clients from at entrance point","5.1.1 1. Is the name of the facility with working hours clearly displayed near the entrance?","duYSck58w3h",
"Check access at entrance or registration area","5.1.1 2. Is the on-call roster accessible to clients, with contact numbers?","OBk7v82dfFu",
"Check access at entrance or registration area","5.1.1 2. Is the on-call roster accessible to clients, with contact numbers?","sDtV8OflgZ9",
"Check access at entrance or registration area","5.1.1 2. Is the on-call roster accessible to clients, with contact numbers?","KB1eKEVzYm5",
"Check access at entrance or registration area","5.1.1 2. Is the on-call roster accessible to clients, with contact numbers?","OBk7v82dfFu",
"Verify against the local policy on exemptions, CHF member benefits, etc.","5.1.2 1. Is a list of all services with prices or exemptions displayed at reception and payment counter?","X3xuXNtQ8CT",
"Verify against the local policy on exemptions, CHF member benefits, etc.","5.1.2 1. Is a list of all services with prices or exemptions displayed at reception and payment counter?","tnAjKQcLbme",
"Verify against the local policy on exemptions, CHF member benefits, etc.","5.1.2 1. Is a list of all services with prices or exemptions displayed at reception and payment counter?","X3xuXNtQ8CT",
"Ask to see the charter. Check the quoted standards of care, e.g. maximum waiting time before an outpatient is seen by a healthcare provider, use of gloves for clinical procedures, rapid tests, injections, dressings, etc .","5.1.2 1. Is there a charter indicating the package of services provided, and standards of care for core services?","OWyemQk86bl",
"Ask one healthcare provider to quote the charter on the service package and any related standards of care, e.g. in (1) above","5.1.2 2. Are healthcare providers aware of the charter?","aNLTE7Fe4C3",
"Ask to see the charter. Check the quoted maximum waiting time before an outpatient is seen by a healthcare provider Yes","5.1.3 1. Is there a charter on waiting times before a client is seen by healthcare provider for core services?","YHjQ1TLbMPb",
"Ask to see the charter. Check the quoted maximum waiting time before an outpatient is seen by a healthcare provider","5.1.3 1. Is there a charter on waiting times before a client is seen by healthcare provider for core services?","QozuX1R7DTH",
"Ask to see the charter. Check the quoted maximum waiting time before an outpatient is seen by a healthcare provider Yes","5.1.3 1. Is there a charter on waiting times before a client is seen by healthcare provider for core services?","YHjQ1TLbMPb",
"Verify against the local policy on exemptions, CHF member benefits, etc.","5.1.3 1. Is there a displayed list of services provided free of charge or under insurance benefits, and those with charges, including price lists or exemptions, at reception and payment counter?","uWkpdB1Zt5o",
"Ask two healthcare providers to quote the charter on waiting times for outpatients","5.1.3 2. Are healthcare providers aware of the charter on waiting times?","ANXnutOm8r0",
"This only applies for scheduled clinics, e.g. chronic disease clinics, specialised services provided from higher level  Yes","5.1.4 1. Is there a clearly displayed clinic schedule showing dates, day and time?","iNoAM4tsWQD",
"This only applies for scheduled clinics, e.g. chronic disease clinics, specialised services provided from higher level  Yes","5.1.4 1. Is there a clearly displayed clinic schedule showing dates, day and time?","iNoAM4tsWQD",
,"5.1.4 1. Is there a clearly displayed clinic schedule showing dates, day and time?","wFLKwjNNzes",
"This only applies for scheduled clinics, e.g. chronic disease clinics, specialised services provided from higher level","5.1.4 1. Is there a clearly displayed clinic schedule showing dates, day and time?","bnjPgPWpwN7",
,"5.1.4 1. Is there a clearly displayed clinic schedule showing dates, day and time?","fMyhRNwIXfc",
"Check that the information can be viewed by the public","5.1.5 1. Is information displayed on availability of the following resources (a) Plans and Budget? (b) Allocation of medicines & Supplies? (c) Revenue collection, received funds and expenditure?","ZwKKCgCqKUM",
"Check that the information can be viewed by the public","5.1.5 1. Is information displayed on availability of the following resources (a) Plans and Budget? (b) Allocation of medicines & Supplies? (c) Revenue collection, received funds and expenditure?","ZwKKCgCqKUM",
"Follow the route and path of a client (e.g. outpatient) from entry to exit, accompanied by a facility staff member, noting if there any known bottlenecks.","5.2.1 1. Are the service provision points arranged to allow optimal flow and waiting area for clients within the available space and building plan?","pJglZMUPIeC",
"Follow the route and path of an outpatient from entry to exit,accompanied by a facility staff member,noting if there any known bottlenecks  Yes","5.2.1 1.Are the service provision points arranged to allow optimal flow and waiting area forclients within the available space and building plan?","VTGrA9XxYvp",
"Follow the route and path of an outpatient from entry to exit,accompanied by a facility staff member,noting if there any known bottlenecks  Yes","5.2.1 1.Are the service provision points arranged to allow optimal flow and waiting area forclients within the available space and building plan?","CPHpklWyU6q",
"Follow the route and path of an outpatient from entry to exit,accompanied by a facility staff member,noting if there any known bottlenecks  Yes","5.2.1 1.Are the service provision points arranged to allow optimal flow and waiting area forclients within the available space and building plan?","VTGrA9XxYvp",
"Check if the directions are well posted and the labels for spaces, rooms and service points are in Kiswahili.","5.2.1 2. Are there labels for service points and directions to guide clients to the next service provision point?","yeJF1KXglXE",
"Check if the directions are well posted and the labels for spaces, rooms andservice points are in KiSwahili.","5.2.1 2. Are there labels for service points and directions to guide clients to the next service provision point?","i9ZhI1adHl9",
"Check if the directions are well posted and the labels for spaces, rooms andservice points are in KiSwahili.","5.2.1 2. Are there labels for service points and directions to guide clients to the next service provision point?","i9ZhI1adHl9",
"Check if the directions are well posted and the labels for spaces, rooms andservice points are in KiSwahili.","5.2.1 2. Are there labels for service points and directions to guide clients to the next service provision point?","CYsuZaz5szU",
"Check records to verify that a sample of client visits were monitored within the last month.","5.2.2 1. Does the facility monitor waiting time before a client is seen by a healthcare provider in outpatient services?","WXuwnSytVFf",
"Check records to verify that a sample of client visits were monitored within the last month.","5.2.2 1.Does the facility monitor waiting time before a client is seen by a healthcare provider in outpatient services?","XiYgNMgte42",
"Check records to verify that a sample of client visits were monitored within the last month.","5.2.2 1.Does the facility monitor waiting time before a client is seen by a healthcare provider in outpatient services?","q6WXI6OlBNQ",
"Check records to verify that a sample of client visits were monitored within the last month.","5.2.2 1.Does the facility monitor waiting time before a client is seen by a healthcare provider in outpatient services?","q6WXI6OlBNQ",
"Verify schedule and arrangements","5.3.1 1. Does the facility plan for health education activities?","RmI0d0I1smt",
,"5.3.1 1. Does the facility plan for health education activities?","TQYsEd9xiSA",
"Verify schedule and arrangements","5.3.1 1. Does the facility plan for health education activities?","RmI0d0I1smt",
"Verify schedule and arrangements","5.3.1 1.Does the facility plan for health education activities?","ZSZmZ6nnPBQ",
"Ask for a report of health education activities implemented in the last quarter","5.3.1 2. Is the plan implemented?","ZjnNarr5tbH",
"Ask for a report of health education activities implemented in the last quarter.","5.3.1 2.Is the plan implemented?","U1eM7fAQ6r9",
"Ask for a report of health education activities implemented in the last quarter.","5.3.1 2.Is the plan implemented?","mG1q5AqCnuA",
"Ask for a report of health education activities implemented in the last quarter.","5.3.1 2.Is the plan implemented?","mG1q5AqCnuA",
,"5.3.2 1. Is there a schedule for outreach services?","wYGxBk6DdWl",
,"5.3.2 1.Is there a schedule for outreach services?","JMGa9jVNix8",
,"5.3.2 1.Is there a schedule for outreach services?","YE4s2Fv6lnM",
,"5.3.2 1.Is there a schedule for outreach services?","JMGa9jVNix8",
,"5.3.2 2. Are outreach services provided","Bl1FJTx6pz5",
"Ask for a report on outreach services provided in the last quarter","5.3.2 2. Are outreach services provided according to the schedule?","ipSGbCa6bJC",
"Ask for a report on outreach services provided in the last quarter","5.3.2 2. Are outreach services provided according to the schedule?","ipSGbCa6bJC",
"Ask for a report on outreach services provided in the last quarter","5.3.2 2. Are outreach services provided according to the schedule?","iDSEmyMwMWU",
"Check that a reference copy of current guidelines for Integrated Management ofChildhood Illnesses (IMCI) is available in theconsultation  room, or IMCI posters/ job aidesfor  danger signs identification.","6.1.1 1. Are there readily accessible guidelines and SOPs for children under-five years?","fT2jhVJg3P0",
"Check that a reference copy of current guidelines for Integrated Management ofChildhood Illnesses (IMCI) is available in theconsultation  room, or IMCI posters/ job aidesfor  danger signs identification.  Yes","6.1.1 1. Are there readily accessible guidelines and SOPs for children under-five years?","Vmi6MV70pKX",
"Check that a reference copy of current guidelines for Integrated Management ofChildhood Illnesses (IMCI) is available in theconsultation  room, or IMCI posters/ job aidesfor  danger signs identification.  Yes","6.1.1 1. Are there readily accessible guidelines and SOPs for children under-five years?","Vmi6MV70pKX",
"Check that a reference copy of current guidelines for Integrated Management of Childhood Illnesses (IMCI) is available in the consultation room, or IMCI posters and job aides for danger signs identification.  Yes","6.1.1 1. Are there readily accessible guidelines and SOPs for children under-five years?","AIoMuYJgnbK",
"Check that a reference copy of guidelines and SOPs for CEmONC, and for neonatal resuscitation are available in the consultation room/delivery room/postnatal area.","6.1.1 2. Are there readily accessible guidelines and SOPs for maternal and neonatal emergencies?","Al0CK8PBrov",
"Check that a reference copy of guidelines and SOPs for BEmONC, and for neonatal resuscitation are availablein the consultation room/delivery  room/postnatal area.","6.1.1 2.Are there readily accessible guidelines and SOPs for maternal and neonatal emergencies?","SmC52MuzgUf",
"Check that a reference copy of guidelines and SOPs for BEmONC, and for neonatal resuscitation are availablein the consultation room/delivery  room/postnatal ar","6.1.1 2.Are there readily accessible guidelines and SOPs for maternal and neonatal emergencies?","fjEEluOwHlc",
"Check that a reference copy of guidelines and SOPs for BEmONC, and for neonatal resuscitation are availablein the consultation room/delivery  room/postnatal ar","6.1.1 2.Are there readily accessible guidelines and SOPs for maternal and neonatal emergencies?","fjEEluOwHlc",
"A triaging system means a trained triage nurse, triaging plan, Emergency Triage Assessment and Treatment (ETAT) SOPs or equivalent are  available in the facility.  Verify these are in place.","6.1.2 1. Does the facility have a triaging system in place?","iAE5creVdEx",
"A triaging system means a trained triage nurse, triaging plan, Emergency Triage Assessment and Treatment (ETAT) SOPs or equivalent are  available in the facility.  Verify these are in place.","6.1.2 1. Does the facility have a triaging system in place?","iAE5creVdEx",
"A triaging system means a trained triage nurse, triaging plan, Emergency Triage Assessment and Treatment (ETAT) SOPs or equivalent are available in the facility. Verify these are in place","6.1.2 1. Does the facility have a triaging system in place?","RJd2OMAiOFc",
"A triaging system means a trained triage nurse, triaging plan, Emergency Triage Assessment and Treatment (ETAT) SOPs or equivalent are  available in the facility.  Verify these are in place.","6.1.2 1. Does the facility have a triaging system in place?","PxEIpTXWG0F",
"Interview facility manager  Yes","6.1.3 1. Does the facility have any healthcare worker trained on managing health emergencies in children under-five years?","MPGvu7bqICM",
"Interview facility manager","6.1.3 1. Does the facility have any healthcare worker trained on managing health emergencies in children under-five years?","utQmuXa341A",
"Interview facility manager  Yes","6.1.3 1. Does the facility have any healthcare worker trained on managing health emergencies in children under-five years?","MPGvu7bqICM",
"Interview facility manager","6.1.3 1. Does the facility have any healthcare worker trained on managing health emergencies in children under-five years?","Er3WcBGtT5x",
"Interview facility manager","6.1.3 2. Does the facility have any healthcare worker trained on managing maternal and neonatal emergencies?","Hdspqrm8XyR",
"Interview facility manager","6.1.3 2. Does the facility have any healthcare worker trained on managing maternal and neonatal emergencies?","f9qLBxuvzYm",
"Interview facility manager","6.1.3 2. Does the facility have any healthcare worker trained on managing maternal and neonatal emergencies?","Hdspqrm8XyR",
"Interview facility manager","6.1.3 2. Does the facility have any healthcare worker trained on managing maternal and neonatal emergencies?","XXwjD8vfT6S",
,"6.1.3 3. Are there reports of staff training in handling health emergencies?","yIb3sD064J8",
,"6.1.3 3. Are there reports of staff training in handling health emergencies?","JkydBOTtGfG",
,"6.1.3 3. Are there reports of staff training in handling health emergencies?","JkydBOTtGfG",
,"6.1.3 3. Are there reports of staff training in handling health emergencies?","hLvAcnihO1D",
"Verify ready access to the following 10 medicines for emergencies (pre-referral dose only in some cases*). Check that they are in date and  usable (within expiry date).  Tick each item seen and usable.  Yes","6.1.4 1. Does the facility keep medicines for emergencies readily accessible and usable?","CCYak74jchg",
"Verify ready access to the following 10 medicines for emergencies. Check that they are in date and usable (within expiry date). Tick each item seen and usable.","6.1.4 1. Does the facility keep medicines for emergencies readily accessible and usable?","uQc3lq4A95j",
"Verify ready access to the following 10 medicines for emergencies (pre-referral dose only in some cases*). Check that they are in date and  usable (within expiry date).Y.all 10 usable, P. 8 or 9 usable,N. < 8 usable  Tick each item seen and usable.  Select option","6.1.4 1. Does the facility keep medicines for emergencies readily accessible and usable?","np0zuuVXa8Y",
"Verify ready access to the following 10 medicines for emergencies (pre-referral dose only in some cases*). Check that they are in date and  usable (within expiry date).  Tick each item seen and usable.  Yes","6.1.4 1. Does the facility keep medicines for emergencies readily accessible and usable?","CCYak74jchg",
"Verify the presence of the following 10 items of equipment. Check that they are in working order. Tick each item seen and working.  (Y.all 10 usable, P. 8 or 9 usable,N. < 8 usable)","6.1.5 1. Does the facility keep equipment for emergencies readily accessible and usable?","uzLwwSWCqmI",
"Verify the presence of the following 10 items of equipment. Check that they are in working order. Tick each item seen and working.","6.1.5 1. Does the facility keep equipment for emergencies readily accessible and usable?","L07Ving6Lfx",
"Verify the presence of the following 10 items of equipment. Check that they are in working order. Tick each item seen and working.  Yes","6.1.5 1.Does the facility keep equipment for emergencies readily accessible and usable?","ufpAd5rLOhT",
"Verify the presence of the following 10 items of equipment. Check that they are in working order. Tick each item seen and working.  Yes","6.1.5 1.Does the facility keep equipment for emergencies readily accessible and usable?","ufpAd5rLOhT",
,"6.1.5 2. Are there any stretchers and wheel chairs readily accessible and usable in emergency cases?","tExGOX6N3uU",
"Verify the presence of the following 10 items of equipment. Check that they are in working order. Tick each item seen and working.  Yes","6.1.5 2.Are there any stretchers and wheel chairs readily accessible and usable in emergency cases?","SQ1f8wHwHiW",
"Verify the presence of the following 10 items of equipment. Check that they are in working order. Tick each item seen and working.  Yes","6.1.5 2.Are there any stretchers and wheel chairs readily accessible and usable in emergency cases?","SQ1f8wHwHiW",
"Verify that they are functioning properly.","6.1.5 2.Are there any stretchers and wheel chairs readily accessible and usable in emergency cases?","GL51rsxXoFt",
"Verify that transport can be mobilised and-prompt transfer is possible. Ask to see the-documented procedure.","6.2.1 1. Has the facility made adequate transport arrangementsto transfer patients to/from a referral facilitywithin one hour, and documented","k1kzH9QpsHe",
"Verify that transport can be mobilised and-prompt transfer is possible. Ask to see the-documented procedure.","6.2.1 1. Has the facility made adequate transport arrangementsto transfer patients to/from a referral facilitywithin one hour, and documented","k1kzH9QpsHe",
"Verify that transport can be mobilised and prompt transfer is possible. Ask to see the documented procedure.","6.2.1 1. Has the facility made adequate transport arrangements to transfer patients to/from a referral facility within one hour, and documented procedure for referral?","nl8QGClbpSq",
"Verify that transport can be mobilised and prompt transfer is possible. Ask to see the documented procedure.","6.2.1 1. Has the facility made adequate transport arrangementsto transfer patients to/from a referral facilitywithin one hour, and documented procedure for referral?","CkrfkHV9CzV",
"Ask the actual times for transfer of the last two referred patients  Yes","6.2.1 2. Is the actual time for transfer of patients one hour or less on average (from request of transport to the arrival at referral facility)?","zYtcZKvPmol",
"Ask the actual times for transfer of the last referred patients","6.2.1 2.Is the actual time for transfer of patients one hour or less on average (from request of transport to the arrival at referral facility)?","sovIlykeZnv",
"Ask the actual times for transfer of the last-referred patients","6.2.1 2.Is the actual time for transfer of patients one hour or less on average (from request of transport to the arrival at referral facility)?","fHEuwYJSurF",
"Ask the actual times for transfer of the last-referred patients","6.2.1 2.Is the actual time for transfer of patients one hour or less on average (from request of transport to the arrival at referral facility)?","fHEuwYJSurF",
"Interview 3 staff to verify this.","6.2.1 3. Are facility staff aware of the emergency transport arrangements and procedures, including access to required contact numbers for transporter and referral facility?","bdiAPe9m7yT",
"Interview one memberof staff to verify this. Select option","6.2.1 3.Are facility staff aware of the emergency transport arrangements and procedures, including access to required contact numbers for transporter and referral facility?","JxJlEWBr0lm",
"Interview one memberof staff to verify this.","6.2.1 3.Are facility staff aware of the emergency transport arrangements and procedures, including access to required contact numbers for transporter and referral facility?","QvQ8m4Bjenq",
"Interview one memberof staff to verify this. Select option","6.2.1 3.Are facility staff aware of the emergency transport arrangements and procedures, including access to required contact numbers for transporter and referral facility?","JxJlEWBr0lm",
,"6.2.1 4. Check the presence of facility mobile","B4UxvDVKMzz",
,"6.2.1 4. Check the presence of facility mobile phone or landline/functional radio call","RFORwCgtvI2",
,"6.2.1 4. Check the presence of facility mobile phone or landline/functional radio call","Ips3XsfhiAM",
,"6.2.1 4. Check the presence of facility mobile phone or landline/functional radio call","Ips3XsfhiAM",
"Review records.","6.2.2 1. Is there is a file for completed referral forms and feedback reports?","rWn5uxxGDwO",
"Review records.","6.2.2 1. Is there is a file for completed referral forms and feedback reports?","rWn5uxxGDwO",
"Review records.","6.2.2 1. Is there is a file for completed referral forms and feedback reports?","UzhKqzW4s1q",
"Review records.","6.2.2 1. Is there is a file for completed referral forms and feedback reports?","jgsjHDSHTLY",
,"7.1.1 1. Is the client service charter available at this facility?","KhM0RrWFYbp",
,"7.1.1 1. Is the client service charter available at this facility?","UZj9bjQ552D",
,"7.1.1 1. Is the client service charter available at this facility?","Ftx8IEzqVm5",
,"7.1.1 1. Is the client service charter available at this facility?","Ftx8IEzqVm5",
,"7.1.1  2. Is the client service charter displayed in a public area, and visible to clients","M2MEXaK5U5v",
,"7.1.1 2. Is the client service charter displayed in a public area, and visible to clients","TUO7OTPZCFe",
,"7.1.1 2. Is the client service charter displayed in a public area, and visible to clients","L18SRb074Ul",
,"7.1.1 2. Is the client service charter displayed in a public area, and visible to clients","L18SRb074Ul",
,"7.1.1 2. Is the client service charter displayed in a public area, and visible to clients","Y6UNZkzTuo0",
,"7.1.1 2. Is the client service charter displayed in a public area, and visible to clients","Y6UNZkzTuo0",
"Check if documented within the last six months","7.1.2  1. Does the facility management team measure compliance with the client service charter?","EFqkyI7o20S",
"Check if documented within the last six months","7.1.2 1. Does the facility management team measure compliance with the client service charter?","Hb3epUsCfg8",
,"7.1.2 1. Does the facility management team measure compliance with the client service charter?","TfuEJddFwZb",
"Check if documented within the last six months","7.1.2 1. Does the facility management team measure compliance with the client service charter?","Hb3epUsCfg8",
"Any of the following will qualify: suggestion box, client help desk, display of contact details for phone or SMS feedback. Specify the method(s) in use.","7.1.3  1. Is any method for client feedback in place at the facility?","gkLjDryplDb",
"Any of the following will qualify: suggestion box, client help desk, display of contact details for phone or SMS feedback. Specify the method(s) in use.  Yes","7.1.3 -1. Is any methodfor client feedback in place at the facility?","yctnWIoQA1e",
"Any of the following will qualify: suggestion box, client help desk, display of contact details for phone or SMS feedback. Specify the method(s) in use.  Yes","7.1.3 -1. Is any methodfor client feedback in place at the facility?","yctnWIoQA1e",
,"7.1.3 1. Is any method for client feedback in place at the facility?","oCwkKrFUl5a",
"Any of the following will qualify: suggestion box, client help desk, display of contact details for phone or SMS feedback. Specify the method(s) in use.","7.1.3 1. Methods in place","w6sVFnWvvyl",
"Check records of complaints/ suggestions over the last 6 months","7.1.3 2. Is the feedback mechanism in use?","WVWhKTgEphl",
"Check records of complaints/ suggestions over the last 6 months  Yes","7.1.3 2. Is the feedback mechanism in use?","blEW60trdy2",
"Check records of complaints/ suggestions over the last 6 months  Yes","7.1.3 2. Is the feedback mechanism in use?","blEW60trdy2",
"Check records of complaints/ suggestions over the last 6 months","7.1.3 2.Is the feedback mechanism in use?","k66mHIb4EGL",
,"7.1.3 3. Has there been any action on suggestions for improvement, or to address complaints from the feedback mechanism?","MKEaSoqdk1U",
"Check documentation on actions and any improvement.  Yes","7.1.3 3. Has there been any actionon suggestions for improvement, or to address complaints from the feedback mechanism?","JknRLfC83gn",
"Check documentation on actions and any improvement.  Yes","7.1.3 3. Has there been any actionon suggestions for improvement, or to address complaints from the feedback mechanism?","JknRLfC83gn",
"Check documentation on actions and any improvement.","7.1.3 3.Has there been any actionon suggestions for improvement, or to address complaints from the feedback mechanism?","GNp3ZqKmDuR",
,"7.1.3 4. Is there any community participation and engagement arising from the feedback mechanism?","gdDxtmMjC1w",
"Check if VEO, HFGC members, or CHW are present for opening of the suggestion box, or information provided to HFGC or community from feedback mechanism.","7.1.3 4.Is thereany community participation and engagement arising from the feedback mechanism?","xEjSzQqbbMx",
"Check if VEO, HFGC members, or CHW are present for opening of the suggestion box, or information provided to HFGC or community from feedback mechanism.","7.1.3 4.Is thereany community participation and engagement arising from the feedback mechanism?","kb8YkUmeMCG",
